Sentence,Citation,Author,Year
"The aim of 
the study was to determine an approach to ""increase the speed of ... classification without 
sacrificing accuracy, nor reliability"" (Thomer & Weber, 2014, p. 1134).","accuracy reliability (Thomer & Weber, 2014, p. 1134)",accuracy reliability,2014
"Alexandera and Vries (2021) proposed AckNER, a tool for extracting financial informa-
tion from the funding or acknowledgment section of a research article.",Alexandera and Vries (2021),Vries,2021
"Scientometrics 
1 3
Table 1  Overview of works on NER in scientometrics
Paper Area of application and aim of 
the studyCorpus Entities Methods and tools
Giles and Councill (2004) Extraction of acknowledged enti-
ties form acknowledgementsCiteSeer Funding agencies, Companies, 
Educational Institutions, 
IndividualsSVM for extracting entities and 
their manual classification
Thomer and Weber (2014) Using NER to improve classifica-
tion of acknowledgementsPubMed Central’s Open Access Persons, locations, organizations, 
and miscellaneous4-class Stanford Entity Recognizer
Kayal et al.",entities manual classification Thomer Weber (2014),Thomer Weber,2014
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",academic biographiesORCID Award Location Organization Person Position Specializa- tion OthersSVM Alexandera Vries (2021),Alexandera Vries,2021
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",Haystack Kusumegi Sano (2022),Kusumegi Sano,2022
"Flair has three default training algorithms for 
NER which were used for the first experiment in the present research: a) NER Model with 
Flair Embeddings (later on Flair Embeddings) (Akbik et al., 2018), b) NER Model with 
Transformers (later on Transformers) (Schweter & Akbik, 2020), and c)","Flair has three default training algorithms for 
NER which were used for the first experiment in the present research: a) NER Model with 
Flair Embeddings (later on Flair Embeddings) (Akbik et al., 2018), b) NER Model with 
Transformers (later on Transformers)",NER Model,2018
"Flair has three default training algorithms for 
NER which were used for the first experiment in the present research: a) NER Model with 
Flair Embeddings (later on Flair Embeddings) (Akbik et al., 2018), b) NER Model with 
Transformers (later on Transformers) (Schweter & Akbik, 2020), and c)","Flair has three default training algorithms for 
NER which were used for the first experiment in the present research: a) NER Model with 
Flair Embeddings (later on Flair Embeddings) (Akbik et al., 2018), b) NER Model with 
Transformers (later on Transformers) (Schweter & Akbik, 2020)",NER Model,2018
"Zero-shot NER 
with TARS (later on TARS) (Halder et al., 2020) 8.","TARS (Halder et al., 2020)",TARS,2020
"As WoS contains millions of metadata records (Singh et al., 
2021), the data chosen for the present study was restricted by year and scientific domain 
(for the corpora Nos. 1, 2, and 3) or additionally by the affiliation country (for corpus No.4).","metadata records (Singh et al., 
2021)",metadata records,2021
"We applied GloVe (Pennington et  al., 2014) as a static word-level 
embedding model.","We applied GloVe (Pennington et  al., 2014)",GloVe,2014
"For Transformers, training was initiated with the RoBERTa model (Liu et al., 2019).","the RoBERTa model (Liu et al., 2019)",Liu et al.,2019
