doc_id,citation_id,span_text,length,category,task3_file,task2_file
1135,[CITATION_3],"to not at all well",18,short,task3/1135.label,task2/1135.in
1135,[CITATION_6],"; all of what it needs",22,short,task3/1135.label,task2/1135.in
1169,[CITATION_2],", PBMC activation",17,short,task3/1169.label,task2/1169.in
1169,[CITATION_3],"and thymocyte proliferation",27,short,task3/1169.label,task2/1169.in
1235,[CITATION_1],"Prop.5.6.1 of.",14,very_short,task3/1235.label,task2/1235.in
1268,[CITATION_1],"n=\ « To see this, let",22,short,task3/1268.label,task2/1268.in
1410,[CITATION_3],"and be socially included",24,short,task3/1410.label,task2/1410.in
1463,[CITATION_2],", heroin, and nicotine",22,short,task3/1463.label,task2/1463.in
1494,[CITATION_1],"Ref.",4,very_short,task3/1494.label,task2/1494.in
1511,[CITATION_1],"Also recently, Jedynak",22,short,task3/1511.label,task2/1511.in
1540,[CITATION_4],", anti-Tom40",12,very_short,task3/1540.label,task2/1540.in
1560,[CITATION_2],"The authors in",14,very_short,task3/1560.label,task2/1560.in
1584,[CITATION_2],", Petrosyan",11,very_short,task3/1584.label,task2/1584.in
1584,[CITATION_3],", Nguessong et al",17,short,task3/1584.label,task2/1584.in
1591,[CITATION_2],"analyses from Law Dome by",25,short,task3/1591.label,task2/1591.in
1623,[CITATION_1],"Theorems E (Theorem 1.2 in",26,short,task3/1623.label,task2/1623.in
1623,[CITATION_2],") and F (Theorem 1.3 in",23,short,task3/1623.label,task2/1623.in
1631,[CITATION_2],"and the analysis proposed in",28,short,task3/1631.label,task2/1631.in
1696,[CITATION_3],"; although see",14,very_short,task3/1696.label,task2/1696.in
1709,[CITATION_1],"Lemma 3.9 ([8], ).",18,short,task3/1709.label,task2/1709.in
1726,[CITATION_3],"for more on this.",17,short,task3/1726.label,task2/1726.in
1731,[CITATION_2],", Petrosyan",11,very_short,task3/1731.label,task2/1731.in
1731,[CITATION_7],", Petrosyan",11,very_short,task3/1731.label,task2/1731.in
1731,[CITATION_3],", Nguessong et al",17,short,task3/1731.label,task2/1731.in
1731,[CITATION_8],", Nguessong et al",17,short,task3/1731.label,task2/1731.in
1772,[CITATION_1],"Phases A and B based on",23,short,task3/1772.label,task2/1772.in
1874,[CITATION_2],", Nguessong et al",17,short,task3/1874.label,task2/1874.in
1896,[CITATION_2],"). mFVIIa",9,very_short,task3/1896.label,task2/1896.in
1919,[CITATION_3],", while",7,very_short,task3/1919.label,task2/1919.in
1924,[CITATION_1],"where E A 2 n is given by",25,short,task3/1924.label,task2/1924.in
1929,[CITATION_3],"dyspnoea or heart failure,",26,short,task3/1929.label,task2/1929.in
1939,[CITATION_3],", 1 from",8,very_short,task3/1939.label,task2/1939.in
1939,[CITATION_2],", 2 (males and females) from",28,short,task3/1939.label,task2/1939.in
1958,[CITATION_1],"MoS",3,very_short,task3/1958.label,task2/1958.in
1975,[CITATION_3],", fruit flies",13,very_short,task3/1975.label,task2/1975.in
1975,[CITATION_4],", red flour beetles",19,short,task3/1975.label,task2/1975.in
2029,[CITATION_1],"where we used the notation of",29,short,task3/2029.label,task2/2029.in
2044,[CITATION_5],"Yeo et al",9,very_short,task3/2044.label,task2/2044.in
2060,[CITATION_1],"This result was expected.",25,short,task3/2060.label,task2/2060.in
2060,[CITATION_2],"This result was expected.",25,short,task3/2060.label,task2/2060.in
2086,[CITATION_2],"and Al 2 O 3 /Al",16,short,task3/2086.label,task2/2086.in
2100,[CITATION_4],", Jak-binding proteins",22,short,task3/2100.label,task2/2100.in
2148,[CITATION_5],"and Padberg et al",17,short,task3/2148.label,task2/2148.in
2149,[CITATION_2],"; b Gunturk",11,very_short,task3/2149.label,task2/2149.in
2149,[CITATION_3],"; c Pan",7,very_short,task3/2149.label,task2/2149.in
2149,[CITATION_4],"; d Dai",7,very_short,task3/2149.label,task2/2149.in
2149,[CITATION_5],"; e Chaudhury",13,very_short,task3/2149.label,task2/2149.in
2149,[CITATION_1],"where w ij (I x ) = b a Zhang",29,short,task3/2149.label,task2/2149.in
2149,[CITATION_6],"; f Ours; g Gunturk",19,short,task3/2149.label,task2/2149.in
2194,[CITATION_1],"In early studies, e.g.,",23,short,task3/2194.label,task2/2194.in
2216,[CITATION_1],"It contains two schemes",23,short,task3/2216.label,task2/2216.in
2217,[CITATION_4],"and morphological data",22,short,task3/2217.label,task2/2217.in
2221,[CITATION_2],"or rubidium oxide",17,short,task3/2221.label,task2/2221.in
2289,[CITATION_2],"and Pan",7,very_short,task3/2289.label,task2/2289.in
2289,[CITATION_4],"and Chaudhury et al.",20,short,task3/2289.label,task2/2289.in
2340,[CITATION_1],"This has been observed by",25,short,task3/2340.label,task2/2340.in
2368,[CITATION_1],"which dates back to, and",24,short,task3/2368.label,task2/2368.in
2372,[CITATION_2],", Dai et al.",12,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_5],"and Pan",7,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_7],"; b Gunturk",11,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_8],"; c Pan",7,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_9],"; d Dai",7,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_10],"; e Chaudhury",13,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_12],", Gunturk",9,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_13],", Pan and He",12,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_14],", Dai et al.",12,very_short,task3/2372.label,task2/2372.in
2372,[CITATION_1],"The methods of Zhang et al.",27,short,task3/2372.label,task2/2372.in
2372,[CITATION_3],"and Chaudhury et al.",20,short,task3/2372.label,task2/2372.in
2372,[CITATION_15],", Chaudhury et al.",18,short,task3/2372.label,task2/2372.in
2405,[CITATION_2],"based on Tensorflow",19,short,task3/2405.label,task2/2405.in
2409,[CITATION_2],"Murges et al., 2001;",20,short,task3/2409.label,task2/2409.in
2502,[CITATION_1],"This inequality was proved in",29,short,task3/2502.label,task2/2502.in
2587,[CITATION_1],"We first consider.",18,short,task3/2587.label,task2/2587.in
2595,[CITATION_1],"One can see how by comparing",28,short,task3/2595.label,task2/2595.in
2632,[CITATION_6],"Indeed, as discussed in",23,short,task3/2632.label,task2/2632.in
2679,[CITATION_7],", portal glucose appearance",27,short,task3/2679.label,task2/2679.in
2680,[CITATION_2],"and depression",14,very_short,task3/2680.label,task2/2680.in
2687,[CITATION_11],"in the Dutch famine study",25,short,task3/2687.label,task2/2687.in
2714,[CITATION_4],"or turning",10,very_short,task3/2714.label,task2/2714.in
2714,[CITATION_1],"The whiskers of mammals",23,short,task3/2714.label,task2/2714.in
2719,[CITATION_1],"It has been proven in that:",27,short,task3/2719.label,task2/2719.in
2810,[CITATION_1],"where,.",7,very_short,task3/2810.label,task2/2810.in
2811,[CITATION_1],"Coli colonies after 8 h",23,short,task3/2811.label,task2/2811.in
2875,[CITATION_2],"in a tunnel in Switzerland.",27,short,task3/2875.label,task2/2875.in
2886,[CITATION_1],"This proves.",12,very_short,task3/2886.label,task2/2886.in
2936,[CITATION_3],"Lapidus et al.",14,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_4],"Jokela et al.",13,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_6],"Leon et al.",11,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_7],"Syddall et al.",14,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_8],"Baker et al.",12,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_9],"Andersen",8,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_10],"Lapidus et al.",14,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_11],"Jokela et al.",13,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_13],"Leon et al.",11,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_14],"Syddall et al.",14,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_15],"Baker et al.",12,very_short,task3/2936.label,task2/2936.in
2936,[CITATION_5],"Kajantie et al.",15,short,task3/2936.label,task2/2936.in
2936,[CITATION_12],"Kajantie et al.",15,short,task3/2936.label,task2/2936.in
2980,[CITATION_4],", polio",7,very_short,task3/2980.label,task2/2980.in
2980,[CITATION_5],", influenza",11,very_short,task3/2980.label,task2/2980.in
2980,[CITATION_3],", human papilloma virus",23,short,task3/2980.label,task2/2980.in
2980,[CITATION_6],"and yellow fever",16,short,task3/2980.label,task2/2980.in
2981,[CITATION_2],", Synaptotagmin 4",17,short,task3/2981.label,task2/2981.in
2981,[CITATION_3],", or HPC-1/Syntaxin 1A",22,short,task3/2981.label,task2/2981.in
3004,[CITATION_3],", plasma glucose",16,short,task3/3004.label,task2/3004.in
3004,[CITATION_4],", and plasma α-amino-N",22,short,task3/3004.label,task2/3004.in
3015,[CITATION_2],"In one study,",13,very_short,task3/3015.label,task2/3015.in
3047,[CITATION_1],"This result was proved in",25,short,task3/3047.label,task2/3047.in
3075,[CITATION_2],"25(OH)",6,very_short,task3/3075.label,task2/3075.in
3075,[CITATION_8],"or total (nonionic) calcium.",28,short,task3/3075.label,task2/3075.in
3080,[CITATION_5],"[35] [36] [37]",14,very_short,task3/3080.label,task2/3080.in
3116,[CITATION_2],"and Vanfleteren et al.",22,short,task3/3116.label,task2/3116.in
3144,[CITATION_1],"Basic SCOOP elements",20,short,task3/3144.label,task2/3144.in
3186,[CITATION_5],", Ghosh and Gupta",17,short,task3/3186.label,task2/3186.in
3213,[CITATION_2],", and AEX-3",11,very_short,task3/3213.label,task2/3213.in
3219,[CITATION_3],"and endogenous α v and α",24,short,task3/3219.label,task2/3219.in
3236,[CITATION_5],"and ruminants",13,very_short,task3/3236.label,task2/3236.in
3254,[CITATION_2],"and medical disabilities",24,short,task3/3254.label,task2/3254.in
3273,[CITATION_5],"and MMC based HVDC projects",27,short,task3/3273.label,task2/3273.in
3274,[CITATION_2],"Definition 1.",13,very_short,task3/3274.label,task2/3274.in
3313,[CITATION_2],"and then",8,very_short,task3/3313.label,task2/3313.in
3325,[CITATION_2],"Hoiriis et al.,",15,short,task3/3325.label,task2/3325.in
3325,[CITATION_3],"and von Heymann et al.",22,short,task3/3325.label,task2/3325.in
3377,[CITATION_2],"and DINs",8,very_short,task3/3377.label,task2/3377.in
3395,[CITATION_2],", sensory",9,very_short,task3/3395.label,task2/3395.in
3395,[CITATION_3],", and motor",11,very_short,task3/3395.label,task2/3395.in
3446,[CITATION_1],"Adapted from.",13,very_short,task3/3446.label,task2/3446.in
3465,[CITATION_2],"and RRO PUF",11,very_short,task3/3465.label,task2/3465.in
3468,[CITATION_3],"Recently, Piovesan et al.",25,short,task3/3468.label,task2/3468.in
3468,[CITATION_4],"implemented an in-house",23,short,task3/3468.label,task2/3468.in
3481,[CITATION_2],"to alignment",12,very_short,task3/3481.label,task2/3481.in
3481,[CITATION_4],"Sueoka (pers. comm.).",21,short,task3/3481.label,task2/3481.in
3481,[CITATION_5],"Sueoka (pers. comm.).",21,short,task3/3481.label,task2/3481.in
3513,[CITATION_3],"C ≤ 2mF",7,very_short,task3/3513.label,task2/3513.in
3514,[CITATION_2],", increased lateral signaling",29,short,task3/3514.label,task2/3514.in
3565,[CITATION_8],"and C. elegans",14,very_short,task3/3565.label,task2/3565.in
3565,[CITATION_7],", murine muscle tissues",23,short,task3/3565.label,task2/3565.in
3622,[CITATION_6],"and Huang et al.",16,short,task3/3622.label,task2/3622.in
3627,[CITATION_2],"and RRO PUF",11,very_short,task3/3627.label,task2/3627.in
3653,[CITATION_4],"and ESPRIT",10,very_short,task3/3653.label,task2/3653.in
3657,[CITATION_2],", bacteria",10,very_short,task3/3657.label,task2/3657.in
3657,[CITATION_3],", yeast",7,very_short,task3/3657.label,task2/3657.in
3705,[CITATION_1],"Equation 1 is as follows.",25,short,task3/3705.label,task2/3705.in
3730,[CITATION_5],"and co-prime arrays",19,short,task3/3730.label,task2/3730.in
3750,[CITATION_1],"Methodology criticised by",25,short,task3/3750.label,task2/3750.in
3823,[CITATION_3],"[35] [36] [37]",14,very_short,task3/3823.label,task2/3823.in
3823,[CITATION_4],"41, 43,",7,very_short,task3/3823.label,task2/3823.in
3824,[CITATION_1],"PSMA.",5,very_short,task3/3824.label,task2/3824.in
3825,[CITATION_1],"Section 3 in ).",15,short,task3/3825.label,task2/3825.in
3841,[CITATION_1],"where.",6,very_short,task3/3841.label,task2/3841.in
3869,[CITATION_8],". van Beek",10,very_short,task3/3869.label,task2/3869.in
3871,[CITATION_1],"Theorem 2.1 (Lemmas 2-4 in",26,short,task3/3871.label,task2/3871.in
3876,[CITATION_1],"Equation (2) is as follows:",27,short,task3/3876.label,task2/3876.in
3913,[CITATION_1],"Update σ k by.",14,very_short,task3/3913.label,task2/3913.in
3952,[CITATION_1],"where κ and λ are defined in",28,short,task3/3952.label,task2/3952.in
3999,[CITATION_7],", and herpes virus",18,short,task3/3999.label,task2/3999.in
4019,[CITATION_7],", gender",8,very_short,task3/4019.label,task2/4019.in
4019,[CITATION_8],", and alcohol consumption",25,short,task3/4019.label,task2/4019.in
4091,[CITATION_2],"• Stop sharing needles",22,short,task3/4091.label,task2/4091.in
4093,[CITATION_1],"Casey Foundation, 2007;",23,short,task3/4093.label,task2/4093.in
4094,[CITATION_4],"Zitzmann et al.",15,short,task3/4094.label,task2/4094.in
4148,[CITATION_4],"In addition, Gustin et al",25,short,task3/4148.label,task2/4148.in
4168,[CITATION_3],"Schumann et al.",15,short,task3/4168.label,task2/4168.in
4203,[CITATION_2],"Borrelia burgdorferi ).",23,short,task3/4203.label,task2/4203.in
4214,[CITATION_6],"and in humans",13,very_short,task3/4214.label,task2/4214.in
4275,[CITATION_5],", and",5,very_short,task3/4275.label,task2/4275.in
4308,[CITATION_1],"By and (34), we have",20,short,task3/4308.label,task2/4308.in
4345,[CITATION_1],"This view goes back to",22,short,task3/4345.label,task2/4345.in
4345,[CITATION_3],"in the U.S. context, and in",27,short,task3/4345.label,task2/4345.in
4408,[CITATION_2],", whereas the other patients",28,short,task3/4408.label,task2/4408.in
4434,[CITATION_1],"Dynamic business environment",28,short,task3/4434.label,task2/4434.in
4535,[CITATION_2],") or Parkinson's (e.g.,",23,short,task3/4535.label,task2/4535.in
4570,[CITATION_3],"Another study",13,very_short,task3/4570.label,task2/4570.in
4578,[CITATION_2],", Reo-to-C",10,very_short,task3/4578.label,task2/4578.in
4580,[CITATION_2],"improved the results in Sun",27,short,task3/4580.label,task2/4580.in
4584,[CITATION_1],"Israelis by $300-$400 million",29,short,task3/4584.label,task2/4584.in
4594,[CITATION_1],"Manufacturing flexibility",25,short,task3/4594.label,task2/4594.in
4612,[CITATION_2],", skin",6,very_short,task3/4612.label,task2/4612.in
4612,[CITATION_3],"and vagina",10,very_short,task3/4612.label,task2/4612.in
4623,[CITATION_2],", DONA",6,very_short,task3/4623.label,task2/4623.in
4623,[CITATION_3],", NetInf",8,very_short,task3/4623.label,task2/4623.in
4623,[CITATION_4],", secure naming by Wong et al",29,short,task3/4623.label,task2/4623.in
4630,[CITATION_1],"Definition 19 (see ).",21,short,task3/4630.label,task2/4630.in
4676,[CITATION_1],"Manufacturing flexibility",25,short,task3/4676.label,task2/4676.in
4717,[CITATION_1],"ISE cell configuration.",23,short,task3/4717.label,task2/4717.in
4722,[CITATION_2],") or 0.5 and 2.5 (e.g.,",23,short,task3/4722.label,task2/4722.in
4732,[CITATION_4],", charge-based",14,very_short,task3/4732.label,task2/4732.in
4743,[CITATION_2],"and experiments",15,short,task3/4743.label,task2/4743.in
4745,[CITATION_2],"where",5,very_short,task3/4745.label,task2/4745.in
4769,[CITATION_3],", OSQP",6,very_short,task3/4769.label,task2/4769.in
4792,[CITATION_1],"Definition 20 (see ).",21,short,task3/4792.label,task2/4792.in
4819,[CITATION_2],"and cDNA-AFLP ESTs",18,short,task3/4819.label,task2/4819.in
4839,[CITATION_1],"Definition 23 (see ).",21,short,task3/4839.label,task2/4839.in
4840,[CITATION_3],"and Wong et al",14,very_short,task3/4840.label,task2/4840.in
4844,[CITATION_2],"Pergola et al,",14,very_short,task3/4844.label,task2/4844.in
4879,[CITATION_1],"Definition 21 (see ).",21,short,task3/4879.label,task2/4879.in
4945,[CITATION_1],"Let us point out that in Sun",28,short,task3/4945.label,task2/4945.in
4945,[CITATION_2],"and Wang, Ma and Wang",21,short,task3/4945.label,task2/4945.in
4950,[CITATION_6],"Theorem 1.5 ( ).",16,short,task3/4950.label,task2/4950.in
4950,[CITATION_7],"Theorem 1.5 ( ).",16,short,task3/4950.label,task2/4950.in
4967,[CITATION_4],"or treatment outcome in vivo.",29,short,task3/4967.label,task2/4967.in
4996,[CITATION_1],"The outcome is the manuscript",29,short,task3/4996.label,task2/4996.in
5062,[CITATION_5],"can be chosen as",16,short,task3/5062.label,task2/5062.in
5091,[CITATION_1],"Schoen ).",9,very_short,task3/5091.label,task2/5091.in
5105,[CITATION_1],"Kajikiya in",11,very_short,task3/5105.label,task2/5105.in
5110,[CITATION_1],"Definition 1 (see ).",20,short,task3/5110.label,task2/5110.in
5127,[CITATION_1],"Proposition 2.",14,very_short,task3/5127.label,task2/5127.in
5135,[CITATION_1],"Theorem 24 (see",15,short,task3/5135.label,task2/5135.in
5170,[CITATION_1],"From Fig. 2.",12,very_short,task3/5170.label,task2/5170.in
5173,[CITATION_1],"Gromov ).",9,very_short,task3/5173.label,task2/5173.in
5173,[CITATION_4],", Theorem 6.13, or",18,short,task3/5173.label,task2/5173.in
5181,[CITATION_1],"Lemma 3 (see",12,very_short,task3/5181.label,task2/5181.in
5181,[CITATION_2],"Lemma 3 (see Lemma 4 (see",25,short,task3/5181.label,task2/5181.in
5181,[CITATION_3],"System (3) Definition 5 (see",28,short,task3/5181.label,task2/5181.in
5188,[CITATION_1],"Proposition 4.",14,very_short,task3/5188.label,task2/5188.in
5202,[CITATION_3],", apoptosis",11,very_short,task3/5202.label,task2/5202.in
5240,[CITATION_2],"compared to NO x (6 to 24 h,",28,short,task3/5240.label,task2/5240.in
5257,[CITATION_4],"and mice,",9,very_short,task3/5257.label,task2/5257.in
5307,[CITATION_2],"and Eirola and Sanz-Serna's",27,short,task3/5307.label,task2/5307.in
5315,[CITATION_1],"for (Fig. 1b -I).",17,short,task3/5315.label,task2/5315.in
5315,[CITATION_7],"and increased to 3.5 nm for",27,short,task3/5315.label,task2/5315.in
5364,[CITATION_1],"Wendel, Germany) in Korea",25,short,task3/5364.label,task2/5364.in
5389,[CITATION_1],"Theorem (, Theorem 1.3).",24,short,task3/5389.label,task2/5389.in
5400,[CITATION_3],"[11],",5,very_short,task3/5400.label,task2/5400.in
5400,[CITATION_4],", and",5,very_short,task3/5400.label,task2/5400.in
5409,[CITATION_2],", Tchesnokov et al.",19,short,task3/5409.label,task2/5409.in
5414,[CITATION_3],"See for further details.",24,short,task3/5414.label,task2/5414.in
5454,[CITATION_3],"used in",7,very_short,task3/5454.label,task2/5454.in
5465,[CITATION_1],"Kehry at Biogen Idec",20,short,task3/5465.label,task2/5465.in
5492,[CITATION_1],"Schoen ).",9,very_short,task3/5492.label,task2/5492.in
5541,[CITATION_3],"arene; TC6A-thiolated calix",27,short,task3/5541.label,task2/5541.in
5541,[CITATION_4],"arene; TC4A-thiolated calix",27,short,task3/5541.label,task2/5541.in
5543,[CITATION_2],"and Ambrose et al.",18,short,task3/5543.label,task2/5543.in
5546,[CITATION_2],", such that (7),",16,short,task3/5546.label,task2/5546.in
5559,[CITATION_1],"Lemma 6.",8,very_short,task3/5559.label,task2/5559.in
5573,[CITATION_5],", early endosomes",17,short,task3/5573.label,task2/5573.in
5587,[CITATION_1],"A r at level k).",16,short,task3/5587.label,task2/5587.in
5603,[CITATION_1],"In 1974?",8,very_short,task3/5603.label,task2/5603.in
5626,[CITATION_1],"Schoen ).",9,very_short,task3/5626.label,task2/5626.in
5628,[CITATION_1],"Proof. (1),.",12,very_short,task3/5628.label,task2/5628.in
5644,[CITATION_6],", reduced oxidative stress",26,short,task3/5644.label,task2/5644.in
5644,[CITATION_10],"and sEMG spectral content",25,short,task3/5644.label,task2/5644.in
5683,[CITATION_2],", support vector machine",24,short,task3/5683.label,task2/5683.in
5710,[CITATION_1],"Schoen ).",9,very_short,task3/5710.label,task2/5710.in
5712,[CITATION_1],"Lemma 6.",8,very_short,task3/5712.label,task2/5712.in
5817,[CITATION_2],"for details)",12,very_short,task3/5817.label,task2/5817.in
5858,[CITATION_2],", and in the family study of",28,short,task3/5858.label,task2/5858.in
5865,[CITATION_2],", coronary flow reserve",23,short,task3/5865.label,task2/5865.in
5872,[CITATION_1],"Proposition 6.",14,very_short,task3/5872.label,task2/5872.in
5878,[CITATION_4],") and numerical studies",23,short,task3/5878.label,task2/5878.in
5916,[CITATION_2],"γ (µ) = ±χ",10,very_short,task3/5916.label,task2/5916.in
5916,[CITATION_1],"In the former case we get χ",27,short,task3/5916.label,task2/5916.in
5943,[CITATION_1],"Proposition 6.",14,very_short,task3/5943.label,task2/5943.in
5982,[CITATION_2],"Häder 2002, Apel and",20,short,task3/5982.label,task2/5982.in
6007,[CITATION_9],", metaplastic breast cancer",27,short,task3/6007.label,task2/6007.in
6007,[CITATION_10],"and interferon-rich tumors",26,short,task3/6007.label,task2/6007.in
6043,[CITATION_1],"cold stress in humans",21,short,task3/6043.label,task2/6043.in
6074,[CITATION_1],"Timed automata, defined in",26,short,task3/6074.label,task2/6074.in
6089,[CITATION_2],"and lumican-null zebrafish",26,short,task3/6089.label,task2/6089.in
6148,[CITATION_3],", and",5,very_short,task3/6148.label,task2/6148.in
6168,[CITATION_3],"Swanson and Caldwell",20,short,task3/6168.label,task2/6168.in
6245,[CITATION_1],"• ).",4,very_short,task3/6245.label,task2/6245.in
6298,[CITATION_2],"We refer to",11,very_short,task3/6298.label,task2/6298.in
6300,[CITATION_3],"and appropriate",15,short,task3/6300.label,task2/6300.in
6322,[CITATION_6],", diseases",10,very_short,task3/6322.label,task2/6322.in
6322,[CITATION_4],", temperature tolerance",23,short,task3/6322.label,task2/6322.in
6322,[CITATION_5],", culture methods",17,short,task3/6322.label,task2/6322.in
6354,[CITATION_4],"and PLA",7,very_short,task3/6354.label,task2/6354.in
6357,[CITATION_2],", Toouati-Ahmed and Storey",26,short,task3/6357.label,task2/6357.in
6357,[CITATION_3],", Hu and Storey",15,short,task3/6357.label,task2/6357.in
6357,[CITATION_4],", Gilbert and Nocedal",21,short,task3/6357.label,task2/6357.in
6359,[CITATION_1],"Thus we have:",13,very_short,task3/6359.label,task2/6359.in
6397,[CITATION_2],"and neural networks",19,short,task3/6397.label,task2/6397.in
6417,[CITATION_1],"By Equation,",12,very_short,task3/6417.label,task2/6417.in
6516,[CITATION_1],"Theorem 13 (Finite BDPs",23,short,task3/6516.label,task2/6516.in
6555,[CITATION_3],"1 ε 2 ≤ (1 + 2ε)(1 + ε)",23,short,task3/6555.label,task2/6555.in
6578,[CITATION_1],"considered in e.g",17,short,task3/6578.label,task2/6578.in
6585,[CITATION_4],"and humans",10,very_short,task3/6585.label,task2/6585.in
6591,[CITATION_1],"where Z ij is defined in",24,short,task3/6591.label,task2/6591.in
6617,[CITATION_9],"and Chang et al.",16,short,task3/6617.label,task2/6617.in
6666,[CITATION_1],"See.",4,very_short,task3/6666.label,task2/6666.in
6747,[CITATION_3],", deFuse",8,very_short,task3/6747.label,task2/6747.in
6747,[CITATION_4],", and FusionCatcher",19,short,task3/6747.label,task2/6747.in
6761,[CITATION_1],"For further details see",23,short,task3/6761.label,task2/6761.in
