Sentence,Citation,Author,Year,Content,Type
"Furthermore, Thomer and Weber (2014) argues that using named entities can benefit the 
process of manual document classification and evaluation of the data.", 2014,,2014,"Furthermore, Thomer and Weber",regular
"The first typology of acknowledgments was proposed by Mackintosh (1972) (as cited 
in Cronin, 1995) and comprised three categories: facilities, access to data, and help of indi-
viduals.", 1972,,1972,The first typology of acknowledgments was proposed by Mackintosh,regular
"McCain (1991) distinguished five types of acknowledgements: research-related 
information, secondary access to research-related information, specific research-related 
communication, general peer communication, and technical or clerical support.", 1991,,1991,McCain,regular
"Cronin and 
Weaver (1995) defined three broad categories: resource-, procedure- and concept-related.", 1995,,1995,"Cronin and 
Weaver",regular
"Mejia and Kajikawa (2018) developed a four-level classification based on sponsored 
research field: change maker, incremental, breakthrough, and matured.",Mejia and Kajikawa 2018,Mejia and Kajikawa,2018,Mejia and Kajikawa,regular
"Doehne and Herfeld (2023) distinguished acknowledgements from the perspective of 
appreciation of influential scholars and defined two axes: scientific influence and insti-
tutional influence.", 2023,,2023,Doehne and Herfeld,regular
"Wang and Shapira (2011) investigated the connection between research funding and 
the development of science and technology using acknowledgments from articles from the 
field of nanotechnology.", 2011,,2011,Wang and Shapira,regular
"Rose and Georg (2021) studied informal cooperation in academic 
research.", 2021,,2021,Rose and Georg,regular
"Mejia and Kajikawa (2018) argued that the classification of funders 
could be useful in developing funding strategies for policymakers and funders.",Mejia and Kajikawa 2018,Mejia and Kajikawa,2018,Mejia and Kajikawa,regular
"Doehne and Herfeld (2023) manually investigated acknowledgement sections of papers, 
which were published or preprinted in association with the Cowles Foundation between 
early 1940 and 1970 to trace the influence of the informal social structure and academic 
leaders on the early acceptance of scientific innovations.", 2023,,2023,Doehne and Herfeld,regular
"The 
annotation process is crucial as insufficient or redundant metadata can slow down and bias 
a learning process (Pustejovsky & Stubbs, 2012, Chapter 1).",", 2012, Chapter 1",,2012,"The 
annotation process is crucial as insufficient or redundant metadata can slow down and bias 
a learning process .",direct
"The 
state-of-the-art models are based on deep recurrent models, convolution-based, or Scientometrics 
1 3
pre-trained transformer architectures (Iovine et  al., 2022).",", 2022",,2022,"The 
state-of-the-art models are based on deep recurrent models, convolution-based, or Scientometrics 
1 3
pre-trained transformer architectures",regular
"Thus, Akbik et  al. (2018) 
proposed a new character-based contextual string embeddings method.", 2018,,2018,"Thus, Akbik et  al.",regular
"(2018) presented BERT (Bidirectional 
Encoder Representations Transformers), a transformer-based language representa-
tion model that models the representation of contextualized word embeddings.", 2018,,2018,"presented BERT (Bidirectional 
Encoder Representations Transformers), a transformer-based language representa-
tion model that models the representation of contextualized word embeddings.",regular
"Later, Liu et al. (2019) performed an optimization of the BERT model and introduced 
RoBERTa (Robustly Optimized BERT Pretraining Approach).", al 2019,al,2019,"Later, Liu et al.",regular
"Thus, Beltagy et  al.. 
(2019) released SciBERT a BERT-based language model pre-trained on a large number 
of unlabeled scientific articles from the computer science and biomedical domains.", 2019,,2019,"Thus, Beltagy et  al..",regular
"Recently, Shen et al. (2022) introduced the SsciBERT, a language model based on BERT 
and pre-trained on abstracts published in the Social Science Citation Index (SSCI) journals.", al 2022,al,2022,"Recently, Shen et al.",regular
"Thus, Etzioni 
et al. (2005) uses lists of patterns and domain-specific rules to extract named entities.", al 2005,al,2005,"Thus, Etzioni 
et al.",regular
"Efti-
mov et al. (2017) developed a rule-based NER model to extract dietary information from 
scientific publications.", 2017,,2017,"Efti-
mov et al.",regular
"(2022) proposed a cycle-consist-
ency approach for NER (CycleNER).", 2022,,2022,"proposed a cycle-consist-
ency approach for NER (CycleNER).",regular
"Thus, Kenekayoro (2018) devel-
oped a supervised method for the automatic extraction of named entities from academic 
bibliographies.", 2018,,2018,"Thus, Kenekayoro",regular
"Jiang et al. (2022) proposed a strategy for the identification of software in scientific bio-
informatics publications using the combination of SVM and CRF (Conditional Random 
Field).", al 2022,al,2022,Jiang et al.,regular
"Kusumegi and Sano (2022) analysed scholarly relationships by analysing acknowl-
edged individuals from the acknowledgments statements from eight open-access journals.",Kusumegi and Sano 2022,Kusumegi and Sano,2022,Kusumegi and Sano,regular
"Giles and Councill (2004) developed an automated method for the extraction and 
analysis of acknowledgment texts using regular expressions and SVM.", 2004,,2004,Giles and Councill,regular
"Thomer and Weber (2014) used the 4-class Stanford Entity Recognizer (Finkel et al., 
2005) to extract persons, locations, organizations, and miscellaneous entities from the col-
lection of bioinformatics texts from PubMed Central’s Open Access corpus.", 2014,,2014,Thomer and Weber,regular
"The aim of 
the study was to determine an approach to ""increase the speed of ... classification without 
sacrificing accuracy, nor reliability"" (Thomer & Weber, 2014, p. 1134).",", 2014, p. 1134",,2014,"The aim of 
the study was to determine an approach to ""increase the speed of ... classification without 
sacrificing accuracy, nor reliability"" .",direct
"Kayal et  al. (2017) introduced a method for extraction of funding organizations and 
grants from acknowledgment texts using a combination of sequential learning models: con-
ditional random fields (CRF), hidden markov models (HMM), and maximum entropy mod-
els (MaxEnt).", 2017,,2017,Kayal et  al.,regular
"Alexandera and Vries (2021) proposed AckNER, a tool for extracting financial informa-
tion from the funding or acknowledgment section of a research article.", 2021,,2021,Alexandera and Vries,regular
"Following, Borst et  al. (2022) applied a question-answering (QA) based approach to 
identify funding information in acknowledgments texts.", 2022,,2022,"Following, Borst et  al.",regular
"The special issue by Zhang et al. (2023) 
provided a recent overview of current works in the extraction of knowledge entities.", al 2023,al,2023,The special issue by Zhang et al.,regular
"To the best of our knowledge the work of Giles and Councill (2004) is the only 
attempt to extract and categorise multiple acknowledged entities.", 2004,,2004,To the best of our knowledge the work of Giles and Councill,regular
"7 AckNER showed better performance as Flair, but is specifically designed to recognize two types of 
acknowledged entities (Alexandera & Vries, 2021), which was insufficient for the present project.",", 2021",,2021,"7 AckNER showed better performance as Flair, but is specifically designed to recognize two types of 
acknowledged entities",regular
"Scientometrics 
1 3
Table 1  Overview of works on NER in scientometrics
Paper Area of application and aim of 
the studyCorpus Entities Methods and tools
Giles and Councill (2004) Extraction of acknowledged enti-
ties form acknowledgementsCiteSeer Funding agencies, Companies, 
Educational Institutions, 
IndividualsSVM for extracting entities and 
their manual classification
Thomer and Weber (2014) Using NER to improve classifica-
tion of acknowledgementsPubMed Central’s Open Access Persons, locations, organizations, 
and miscellaneous4-class Stanford Entity Recognizer
Kayal et al.", 2004,,2004,"Scientometrics 
1 3
Table 1  Overview of works on NER in scientometrics
Paper Area of application and aim of 
the studyCorpus Entities Methods and tools
Giles and Councill",regular
"Scientometrics 
1 3
Table 1  Overview of works on NER in scientometrics
Paper Area of application and aim of 
the studyCorpus Entities Methods and tools
Giles and Councill (2004) Extraction of acknowledged enti-
ties form acknowledgementsCiteSeer Funding agencies, Companies, 
Educational Institutions, 
IndividualsSVM for extracting entities and 
their manual classification
Thomer and Weber (2014) Using NER to improve classifica-
tion of acknowledgementsPubMed Central’s Open Access Persons, locations, organizations, 
and miscellaneous4-class Stanford Entity Recognizer
Kayal et al.", 2014,,2014,"Extraction of acknowledged enti-
ties form acknowledgementsCiteSeer Funding agencies, Companies, 
Educational Institutions, 
IndividualsSVM for extracting entities and 
their manual classification
Thomer and Weber",regular
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.", 2017,,2017,"Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",regular
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",Kusumegi and Sano 2018,Kusumegi and Sano,2018,"Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro",regular
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",Kusumegi and Sano 2021,Kusumegi and Sano,2021,"Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries",regular
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",Kusumegi and Sano 2022,Kusumegi and Sano,2022,"Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al.",regular
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",Kusumegi and Sano 2022,Kusumegi and Sano,2022,"Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al.",regular
"(2017) Extraction of funding information 
from acknowledgementsPubMed Central’s Open Access Funding bodies, grants CRF, HMM, MaxEnt
Kenekayoro (2018) Extraction of biography informa-
tion from academic biographiesORCID Award, Location, Organization, 
Person, Position, Specializa-
tion, OthersSVM
Alexandera and Vries (2021) Extraction of funding information 
from acknowledgementsTU Delft’s institutional repository Funding bodies, grants SpaCy dependency parser + regu-
lar expressions
Jiang et al. (2022) Extraction of scientific software 
from scientific articles (full 
texts) in bioinformaticsbioinformatics journals EnsembleSVMs-CRF
Borst et al. (2022) Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano (2022) Extraction and linking of 
acknowledged individuals from 
acknowledgementsPLOS Individuals Stanford CoreNLP NER tagger + 
MAG Scientometrics
1 3
Method
In the present paper, different models for extraction and classification of acknowledged 
entities supported by the Flair NLP framework were evaluated.",Kusumegi and Sano 2022,Kusumegi and Sano,2022,"Extraction of funding information 
from acknowledgementsEconStor Funding bodies, grants Haystack
Kusumegi and Sano",regular
"The choice of classification 
was inspired by Giles and Councill’s (2004) classification: funding agencies (FUND), cor -
porations (COR), universities (UNI), and individuals (IND).", 2004,,2004,"The choice of classification 
was inspired by Giles and Councill’s",regular
"The Flair NLP framework
Flair is an open-sourced NLP framework built on PyTorch (Paszke et  al., 2019), which 
is an open-source machine learning library.",", 2019",,2019,"The Flair NLP framework
Flair is an open-sourced NLP framework built on PyTorch",regular
"“The core idea of the framework is to pre-
sent a simple, unified interface for conceptually very different types of word and document 
embeddings” (Akbik et  al., 2019, p.  54).",", 2019, p.  54",,2019,"“The core idea of the framework is to pre-
sent a simple, unified interface for conceptually very different types of word and document 
embeddings” .",direct
"Flair has three default training algorithms for 
NER which were used for the first experiment in the present research: a) NER Model with 
Flair Embeddings (later on Flair Embeddings) (Akbik et al., 2018), b) NER Model with 
Transformers (later on Transformers) (Schweter & Akbik, 2020), and c)","NER Model, 2018",NER Model,2018,", b) NER Model with 
Transformers (later on Transformers) (Schweter & Akbik, 2020), and c)",regular
"Flair has three default training algorithms for 
NER which were used for the first experiment in the present research: a) NER Model with 
Flair Embeddings (later on Flair Embeddings) (Akbik et al., 2018), b) NER Model with 
Transformers (later on Transformers) (Schweter & Akbik, 2020), and c)","NER Model, 2020",NER Model,2020,", and c)",regular
"Zero-shot NER 
with TARS (later on TARS) (Halder et al., 2020) 8.",", 2020",,2020,8.,regular
"The Flair Embeddings model uses stacked embeddings, i.e., a combination of contex-
tual string embeddings (Akbik et al., 2018) with a static embeddings model.",", 2018",,2018,"The Flair Embeddings model uses stacked embeddings, i.e., a combination of contex-
tual string embeddings",regular
"Stacked 
embedding is an important Flair feature, as a combination of different embeddings might 
bring better results than their separate uses (Akbik et al., 2019).",", 2019",,2019,"Stacked 
embedding is an important Flair feature, as a combination of different embeddings might 
bring better results than their separate uses",regular
"(Halder et al., 2020).",", 2020",,2020,.,regular
"At the same time, 
information on technical and instrumental support is more common for the natural and 
life sciences domains (Diaz-Faes & Bordons, 2017).",", 2017",,2017,"At the same time, 
information on technical and instrumental support is more common for the natural and 
life sciences domains",regular
"We applied GloVe (Pennington et  al., 2014) as a static word-level 
embedding model.",", 2014",,2014,We applied GloVe,regular
"For Transformers, training was initiated with the RoBERTa model (Liu et al., 2019).","al., 2019",al.,2019,"For Transformers, training was initiated with the RoBERTa model",regular
"The training for the few-shot approach was initiated 
with the TARS NER model (Halder et al., 2020).",", 2020",,2020,"The training for the few-shot approach was initiated 
with the TARS NER model",regular
"On the one hand, Flair developers claimed Transformers to be the most effi-
cient algorithm (Schweter & Akbik, 2020).",", 2020",,2020,"On the one hand, Flair developers claimed Transformers to be the most effi-
cient algorithm",regular
"On the other, the stacked embeddings are 
an important feature of the Flair tool, as a combination of different embeddings might 
bring better results than their separate uses (Akbik et  al., 2019).",", 2019",,2019,"On the other, the stacked embeddings are 
an important feature of the Flair tool, as a combination of different embeddings might 
bring better results than their separate uses",regular
"Thus, Flair Embeddings were 
trained on the 1-billion words English corpus (Chelba et al., 2013).",", 2013",,2013,"Thus, Flair Embeddings were 
trained on the 1-billion words English corpus",regular
"Previous works showed improvements in downstream tasks using embedding models 
fine-tuned for the domain used (Shen et al., 2022; Beltagy et al.., 2019).","al., 2022; Beltagy et al.., 2019",al.,2022,"Previous works showed improvements in downstream tasks using embedding models 
fine-tuned for the domain used .",direct
"Previous works showed improvements in downstream tasks using embedding models 
fine-tuned for the domain used (Shen et al., 2022; Beltagy et al.., 2019).","al., 2022; Beltagy et al.., 2019",,2019,"Previous works showed improvements in downstream tasks using embedding models 
fine-tuned for the domain used .",direct
"Moreover, further analysis of acknowledged entities showed that the miscellaneous cate-
gory contained very inhomogeneous and partly irrelevant data, making the analysis more 
complicated (Smirnova & Mayr, 2023).",", 2023",,2023,"Moreover, further analysis of acknowledged entities showed that the miscellaneous cate-
gory contained very inhomogeneous and partly irrelevant data, making the analysis more 
complicated",regular
